Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,20:00:27,20:00:27,32.702917500,-117.233505333
1,20:00:27,20:00:27,32.702917500,-117.233505333
2,20:00:27,20:00:27,32.702917500,-117.233505333
3,20:00:27,20:00:27,32.702917500,-117.233505333
4,20:00:27,20:00:27,32.702917500,-117.233505333
5,20:00:27,20:00:27,32.702917500,-117.233505333
6,20:00:27,20:00:27,32.702917500,-117.233505333
7,20:00:27,20:00:27,32.702917500,-117.233505333
8,20:00:27,20:00:27,32.702917500,-117.233505333
9,20:00:27,20:00:27,32.702917500,-117.233505333
10,20:00:27,20:00:27,32.702917500,-117.233505333
11,20:00:27,20:00:27,32.702917500,-117.233505333
12,20:00:27,20:00:27,32.702917500,-117.233505333
13,20:00:27,20:00:27,32.702917500,-117.233505333
14,20:00:27,20:00:27,32.702917500,-117.233505333
15,20:00:27,20:00:27,32.702917500,-117.233505333
16,20:00:27,20:00:27,32.702917500,-117.233505333
17,20:00:27,20:00:27,32.702917500,-117.233505333
18,20:00:27,20:00:27,32.702917500,-117.233505333
19,20:00:27,20:00:27,32.702917500,-117.233505333
20,20:00:27,20:00:27,32.702917500,-117.233505333
21,20:00:27,20:00:27,32.702917500,-117.233505333
22,20:00:27,20:00:27,32.702917500,-117.233505333
23,20:00:27,20:00:27,32.702917500,-117.233505333
24,20:00:27,20:00:27,32.702917500,-117.233505333
25,20:00:27,20:00:27,32.702917500,-117.233505333
26,20:00:27,20:00:27,32.702917500,-117.233505333
27,20:00:27,20:00:27,32.702917500,-117.233505333
28,20:00:27,20:00:27,32.702917500,-117.233505333
29,20:00:27,20:00:27,32.702917500,-117.233505333
30,20:00:27,20:00:27,32.702917500,-117.233505333
31,20:00:27,20:00:27,32.702917500,-117.233505333
32,20:00:27,20:00:27,32.702917500,-117.233505333
33,20:00:27,20:00:27,32.702917500,-117.233505333
34,20:00:27,20:00:27,32.702917500,-117.233505333
35,20:00:27,20:00:27,32.702917500,-117.233505333
36,20:00:27,20:00:27,32.702917500,-117.233505333
37,20:00:27,20:00:27,32.702917500,-117.233505333
38,20:00:27,20:00:27,32.702917500,-117.233505333
39,20:00:27,20:00:27,32.702917500,-117.233505333
40,20:00:27,20:00:27,32.702917500,-117.233505333
41,20:00:27,20:00:27,32.702917500,-117.233505333
42,20:00:27,20:00:27,32.702917500,-117.233505333
43,20:00:27,20:00:27,32.702917500,-117.233505333
44,20:00:27,20:00:27,32.702917500,-117.233505333
