Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,19:46:37,19:46:37,32.702958333,-117.233891000
119,19:46:42,19:46:43,32.702989167,-117.233857667
247,19:46:47,19:46:47,32.703008667,-117.233838667
375,19:46:52,19:46:51,32.703032000,-117.233832500
507,19:46:57,19:46:57,32.703096500,-117.233819500
639,19:47:02,19:47:01,32.703137500,-117.233821167
769,19:47:07,19:47:08,32.703220000,-117.233826667
900,19:47:12,19:47:12,32.703277333,-117.233822500
1032,19:47:17,19:47:15,32.703305000,-117.233816000
1161,19:47:22,19:47:22,32.703394000,-117.233786167
1292,19:47:27,19:47:25,32.703433333,-117.233767833
1423,19:47:32,19:47:32,32.703512500,-117.233736667
1554,19:47:37,19:47:37,32.703594833,-117.233760167
1683,19:47:42,19:47:42,32.703649667,-117.233849833
1813,19:47:47,19:47:47,32.703598667,-117.233925833
1942,19:47:52,19:47:52,32.703486167,-117.233881667
2069,19:47:57,19:47:57,32.703414333,-117.233773000
2195,19:48:02,19:48:02,32.703294667,-117.233691167
2327,19:48:07,19:48:07,32.703155333,-117.233662500
2459,19:48:12,19:48:12,32.703017167,-117.233645333
2591,19:48:17,19:48:16,32.702873500,-117.233647000
2720,19:48:22,19:48:22,32.702699667,-117.233609833
2848,19:48:27,18:54:26,32.692988833,-117.159381333
2976,19:48:32,18:54:32,32.693539833,-117.160417333
3105,19:48:37,19:48:37,32.702391333,-117.233382000
3235,19:48:42,19:48:42,32.702418833,-117.233281333
3363,19:48:47,19:48:47,32.702505333,-117.233216833
3490,19:48:52,19:48:52,32.702607167,-117.233160333
