Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,19:18:53,20:13:27,32.698819500,-117.162769333
1,19:18:53,20:13:27,32.698819500,-117.162769333
2,19:18:53,20:13:27,32.698819500,-117.162769333
3,19:18:53,20:13:27,32.698819500,-117.162769333
4,19:18:53,20:13:27,32.698819500,-117.162769333
5,19:18:53,20:13:27,32.698819500,-117.162769333
6,19:18:53,20:13:27,32.698819500,-117.162769333
7,19:18:53,20:13:27,32.698819500,-117.162769333
8,19:18:53,20:13:27,32.698819500,-117.162769333
9,19:18:53,20:13:27,32.698819500,-117.162769333
10,19:18:53,20:13:27,32.698819500,-117.162769333
11,19:18:53,20:13:27,32.698819500,-117.162769333
12,19:18:53,20:13:27,32.698819500,-117.162769333
13,19:18:53,20:13:27,32.698819500,-117.162769333
14,19:18:53,20:13:27,32.698819500,-117.162769333
15,19:18:53,20:13:27,32.698819500,-117.162769333
16,19:18:53,20:13:27,32.698819500,-117.162769333
17,19:18:53,20:13:27,32.698819500,-117.162769333
18,19:18:53,20:13:27,32.698819500,-117.162769333
19,19:18:53,20:13:27,32.698819500,-117.162769333
20,19:18:53,20:13:27,32.698819500,-117.162769333
21,19:18:53,20:13:27,32.698819500,-117.162769333
22,19:18:53,20:13:27,32.698819500,-117.162769333
23,19:18:53,20:13:27,32.698819500,-117.162769333
24,19:18:53,20:13:27,32.698819500,-117.162769333
25,19:18:53,20:13:27,32.698819500,-117.162769333
26,19:18:53,20:13:27,32.698819500,-117.162769333
27,19:18:53,20:13:27,32.698819500,-117.162769333
28,19:18:53,20:13:27,32.698819500,-117.162769333
29,19:18:53,20:13:27,32.698819500,-117.162769333
30,19:18:53,20:13:27,32.698819500,-117.162769333
31,19:18:53,20:13:27,32.698819500,-117.162769333
32,19:18:53,20:13:27,32.698819500,-117.162769333
33,19:18:53,20:13:27,32.698819500,-117.162769333
34,19:18:53,20:13:27,32.698819500,-117.162769333
35,19:18:53,20:13:27,32.698819500,-117.162769333
36,19:18:53,20:13:27,32.698819500,-117.162769333
37,19:18:53,20:13:27,32.698819500,-117.162769333
38,19:18:53,20:13:27,32.698819500,-117.162769333
39,19:18:53,20:13:27,32.698819500,-117.162769333
40,19:18:53,20:13:27,32.698819500,-117.162769333
41,19:18:53,20:13:27,32.698819500,-117.162769333
42,19:18:53,20:13:27,32.698819500,-117.162769333
43,19:18:53,20:13:27,32.698819500,-117.162769333
44,19:18:53,20:13:27,32.698819500,-117.162769333
45,19:18:53,20:13:27,32.698819500,-117.162769333
46,19:18:53,20:13:27,32.698819500,-117.162769333
47,19:18:53,20:13:27,32.698819500,-117.162769333
48,19:18:53,20:13:27,32.698819500,-117.162769333
49,19:18:53,20:13:27,32.698819500,-117.162769333
50,19:18:53,20:13:27,32.698819500,-117.162769333
51,19:18:53,20:13:27,32.698819500,-117.162769333
52,19:18:53,20:13:27,32.698819500,-117.162769333
53,19:18:53,20:13:27,32.698819500,-117.162769333
54,19:18:53,20:13:27,32.698819500,-117.162769333
55,19:18:53,20:13:27,32.698819500,-117.162769333
56,19:18:53,20:13:27,32.698819500,-117.162769333
57,19:18:53,20:13:27,32.698819500,-117.162769333
58,19:18:53,20:13:27,32.698819500,-117.162769333
59,19:18:53,20:13:27,32.698819500,-117.162769333
60,19:18:53,20:13:27,32.698819500,-117.162769333
61,19:18:53,20:13:27,32.698819500,-117.162769333
62,19:18:53,20:13:27,32.698819500,-117.162769333
63,19:18:53,20:13:27,32.698819500,-117.162769333
64,19:18:53,20:13:27,32.698819500,-117.162769333
65,19:18:53,20:13:27,32.698819500,-117.162769333
66,19:18:53,20:13:27,32.698819500,-117.162769333
67,19:18:53,20:13:27,32.698819500,-117.162769333
68,19:18:53,20:13:27,32.698819500,-117.162769333
69,19:18:53,20:13:27,32.698819500,-117.162769333
70,19:18:53,20:13:27,32.698819500,-117.162769333
71,19:18:53,20:13:27,32.698819500,-117.162769333
72,19:18:53,20:13:27,32.698819500,-117.162769333
73,19:18:53,20:13:27,32.698819500,-117.162769333
74,19:18:53,20:13:27,32.698819500,-117.162769333
75,19:18:53,20:13:27,32.698819500,-117.162769333
76,19:18:53,20:13:27,32.698819500,-117.162769333
77,19:18:53,20:13:27,32.698819500,-117.162769333
78,19:18:53,20:13:27,32.698819500,-117.162769333
79,19:18:53,20:13:27,32.698819500,-117.162769333
80,19:18:53,20:13:27,32.698819500,-117.162769333
81,19:18:53,20:13:27,32.698819500,-117.162769333
82,19:18:53,20:13:27,32.698819500,-117.162769333
83,19:18:53,20:13:27,32.698819500,-117.162769333
84,19:18:58,20:13:27,32.698819500,-117.162769333
85,19:18:58,20:13:27,32.698819500,-117.162769333
86,19:18:58,20:13:27,32.698819500,-117.162769333
87,19:18:58,20:13:27,32.698819500,-117.162769333
88,19:18:58,20:13:27,32.698819500,-117.162769333
89,19:18:58,20:13:27,32.698819500,-117.162769333
90,19:18:58,20:13:27,32.698819500,-117.162769333
91,19:18:58,20:13:27,32.698819500,-117.162769333
92,19:18:58,20:13:27,32.698819500,-117.162769333
93,19:18:58,20:13:27,32.698819500,-117.162769333
94,19:18:58,20:13:27,32.698819500,-117.162769333
95,19:18:58,20:13:27,32.698819500,-117.162769333
96,19:18:58,20:13:27,32.698819500,-117.162769333
97,19:18:58,20:13:27,32.698819500,-117.162769333
98,19:18:58,20:13:27,32.698819500,-117.162769333
99,19:18:58,20:13:27,32.698819500,-117.162769333
100,19:18:58,20:13:27,32.698819500,-117.162769333
101,19:18:58,20:13:27,32.698819500,-117.162769333
102,19:18:58,20:13:27,32.698819500,-117.162769333
103,19:18:58,20:13:27,32.698819500,-117.162769333
104,19:18:58,20:13:27,32.698819500,-117.162769333
105,19:18:58,20:13:27,32.698819500,-117.162769333
106,19:18:58,20:13:27,32.698819500,-117.162769333
107,19:18:58,20:13:27,32.698819500,-117.162769333
108,19:18:58,20:13:27,32.698819500,-117.162769333
109,19:18:58,20:13:27,32.698819500,-117.162769333
110,19:18:58,20:13:27,32.698819500,-117.162769333
111,19:18:58,20:13:27,32.698819500,-117.162769333
112,19:18:58,20:13:27,32.698819500,-117.162769333
113,19:18:58,20:13:27,32.698819500,-117.162769333
114,19:18:58,20:13:27,32.698819500,-117.162769333
115,19:18:58,20:13:27,32.698819500,-117.162769333
116,19:18:58,20:13:27,32.698819500,-117.162769333
117,19:18:58,20:13:27,32.698819500,-117.162769333
118,19:18:58,20:13:27,32.698819500,-117.162769333
119,19:18:58,20:13:27,32.698819500,-117.162769333
120,19:18:58,20:13:27,32.698819500,-117.162769333
121,19:18:58,20:13:27,32.698819500,-117.162769333
122,19:18:58,20:13:27,32.698819500,-117.162769333
123,19:18:58,20:13:27,32.698819500,-117.162769333
124,19:18:58,20:13:27,32.698819500,-117.162769333
125,19:18:58,20:13:27,32.698819500,-117.162769333
126,19:18:58,20:13:27,32.698819500,-117.162769333
127,19:18:58,20:13:27,32.698819500,-117.162769333
128,19:18:58,20:13:27,32.698819500,-117.162769333
129,19:18:58,20:13:27,32.698819500,-117.162769333
130,19:18:58,20:13:27,32.698819500,-117.162769333
131,19:18:58,20:13:27,32.698819500,-117.162769333
132,19:18:58,20:13:27,32.698819500,-117.162769333
133,19:18:58,20:13:27,32.698819500,-117.162769333
134,19:18:58,20:13:27,32.698819500,-117.162769333
135,19:18:58,20:13:27,32.698819500,-117.162769333
136,19:18:58,20:13:27,32.698819500,-117.162769333
137,19:18:58,20:13:27,32.698819500,-117.162769333
138,19:18:58,20:13:27,32.698819500,-117.162769333
139,19:18:58,20:13:27,32.698819500,-117.162769333
140,19:18:58,20:13:27,32.698819500,-117.162769333
141,19:18:58,20:13:27,32.698819500,-117.162769333
142,19:18:58,20:13:27,32.698819500,-117.162769333
143,19:18:58,20:13:27,32.698819500,-117.162769333
144,19:18:58,20:13:27,32.698819500,-117.162769333
145,19:18:58,20:13:27,32.698819500,-117.162769333
146,19:18:58,20:13:27,32.698819500,-117.162769333
147,19:18:58,20:13:27,32.698819500,-117.162769333
148,19:18:58,20:13:27,32.698819500,-117.162769333
149,19:18:58,20:13:27,32.698819500,-117.162769333
150,19:18:58,20:13:27,32.698819500,-117.162769333
151,19:18:58,20:13:27,32.698819500,-117.162769333
152,19:18:58,20:13:27,32.698819500,-117.162769333
153,19:18:58,20:13:27,32.698819500,-117.162769333
154,19:18:58,20:13:27,32.698819500,-117.162769333
155,19:18:58,20:13:27,32.698819500,-117.162769333
156,19:18:58,20:13:27,32.698819500,-117.162769333
157,19:18:58,20:13:27,32.698819500,-117.162769333
158,19:18:58,20:13:27,32.698819500,-117.162769333
