Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,20:05:07,20:05:07,32.7030015,-117.234491333
77,20:05:12,20:05:12,32.7030575,-117.234440833
202,20:05:17,20:05:19,32.703279,-117.234023
325,20:05:22,20:05:22,32.703512167,-117.233647667
449,20:05:27,19:11:32,32.701120333,-117.233503333
820,20:05:42,19:11:41,32.7010595,-117.233511333
942,20:05:47,19:11:47,32.701023333,-117.2335155
1069,20:05:52,19:11:52,32.700987167,-117.233513333
1195,20:05:57,19:11:57,32.700974833,-117.233476333
1320,20:06:02,19:12:02,32.701007333,-117.233455
1446,20:06:07,19:12:07,32.7010675,-117.233497833
1573,20:06:12,19:12:12,32.701159667,-117.233514667
1696,20:06:17,19:12:16,32.701221667,-117.233526667
2069,20:06:32,19:12:32,32.7014875,-117.233543167
2196,20:06:37,19:12:37,32.701559167,-117.233518667
2325,20:06:42,19:12:42,32.701638333,-117.233504333
2451,20:06:47,19:12:47,32.701725,-117.233486833
2578,20:06:52,19:12:52,32.701806833,-117.233473667
2706,20:06:57,19:12:57,32.701890833,-117.233460833
2833,20:07:02,19:13:02,32.701963333,-117.233445667
2958,20:07:07,19:13:07,32.7020685,-117.233426333
3086,20:07:12,19:13:12,32.702138333,-117.233422333
3214,20:07:17,19:13:17,32.7022265,-117.233427167
3341,20:07:22,19:13:22,32.702308833,-117.233432833
3465,20:07:27,19:13:27,32.702394167,-117.233456833
3588,20:07:32,19:13:32,32.7024855,-117.233512333
