Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,20:02:47,20:02:47,32.703299500,-117.232871167
108,20:02:52,20:02:52,32.703401167,-117.232879333
238,20:02:57,20:02:57,32.703478667,-117.232895833
358,20:03:02,20:03:02,32.703576000,-117.232943500
487,20:03:07,19:09:07,32.701953667,-117.233460000
617,20:03:12,20:03:12,32.703637000,-117.233179500
748,20:03:17,20:03:16,32.703581667,-117.233295000
877,20:03:22,20:03:23,32.703455667,-117.233426500
1007,20:03:27,20:03:28,32.703324167,-117.233525500
1136,20:03:32,20:03:32,32.703234333,-117.233588500
1266,20:03:37,20:03:37,32.703117000,-117.233654667
1397,20:03:42,20:03:42,32.702993833,-117.233750000
1524,20:03:47,20:03:47,32.702929000,-117.233842333
1654,20:03:52,20:03:52,32.702901167,-117.233918333
1784,20:03:57,20:03:57,32.702882333,-117.234050167
1913,20:04:02,20:04:02,32.702898167,-117.234150833
2043,20:04:07,20:04:06,32.702925333,-117.234215667
2166,20:04:12,20:04:15,32.702962500,-117.234302167
2292,20:04:17,20:04:18,32.702972000,-117.234322833
2421,20:04:22,20:04:22,32.702975000,-117.234345833
2549,20:04:27,20:04:26,32.702980167,-117.234363667
2676,20:04:32,19:10:34,32.701475333,-117.233478833
2802,20:04:37,20:04:35,32.702974833,-117.234400667
2927,20:04:42,20:04:42,32.702971667,-117.234428333
3052,20:04:47,20:04:45,32.702964333,-117.234439833
3177,20:04:52,20:04:52,32.702949667,-117.234461833
3301,20:04:57,20:04:57,32.702940833,-117.234481833
3427,20:05:02,20:05:02,32.702966500,-117.234500667
3553,20:05:07,20:05:07,32.703001500,-117.234491333
