Frame No.,Frame Time,GPS Time,Latitude,Longitude
0,19:44:10,19:44:11,32.7048085,-117.226653833
1,19:44:10,19:44:11,32.7048085,-117.226653833
2,19:44:10,19:44:11,32.7048085,-117.226653833
3,19:44:10,19:44:11,32.7048085,-117.226653833
4,19:44:10,19:44:11,32.7048085,-117.226653833
5,19:44:10,19:44:11,32.7048085,-117.226653833
6,19:44:10,19:44:11,32.7048085,-117.226653833
7,19:44:10,19:44:11,32.7048085,-117.226653833
8,19:44:10,19:44:11,32.7048085,-117.226653833
9,19:44:10,19:44:11,32.7048085,-117.226653833
10,19:44:10,19:44:11,32.7048085,-117.226653833
11,19:44:10,19:44:11,32.7048085,-117.226653833
12,19:44:10,19:44:11,32.7048085,-117.226653833
13,19:44:10,19:44:11,32.7048085,-117.226653833
14,19:44:10,19:44:11,32.7048085,-117.226653833
15,19:44:10,19:44:11,32.7048085,-117.226653833
16,19:44:10,19:44:11,32.7048085,-117.226653833
17,19:44:10,19:44:11,32.7048085,-117.226653833
18,19:44:10,19:44:11,32.7048085,-117.226653833
19,19:44:10,19:44:11,32.7048085,-117.226653833
20,19:44:10,19:44:11,32.7048085,-117.226653833
21,19:44:10,19:44:11,32.7048085,-117.226653833
22,19:44:10,19:44:11,32.7048085,-117.226653833
23,19:44:10,19:44:11,32.7048085,-117.226653833
24,19:44:10,19:44:11,32.7048085,-117.226653833
25,19:44:10,19:44:11,32.7048085,-117.226653833
26,19:44:10,19:44:11,32.7048085,-117.226653833
27,19:44:10,19:44:11,32.7048085,-117.226653833
28,19:44:10,19:44:11,32.7048085,-117.226653833
29,19:44:10,19:44:11,32.7048085,-117.226653833
30,19:44:10,19:44:11,32.7048085,-117.226653833
31,19:44:10,19:44:11,32.7048085,-117.226653833
32,19:44:10,19:44:11,32.7048085,-117.226653833
33,19:44:10,19:44:11,32.7048085,-117.226653833
34,19:44:10,19:44:11,32.7048085,-117.226653833
35,19:44:10,19:44:11,32.7048085,-117.226653833
36,19:44:10,19:44:11,32.7048085,-117.226653833
37,19:44:10,19:44:11,32.7048085,-117.226653833
38,19:44:10,19:44:11,32.7048085,-117.226653833
39,19:44:10,19:44:11,32.7048085,-117.226653833
40,19:44:10,19:44:11,32.7048085,-117.226653833
41,19:44:10,19:44:11,32.7048085,-117.226653833
42,19:44:10,19:44:11,32.7048085,-117.226653833
43,19:44:10,19:44:11,32.7048085,-117.226653833
44,19:44:10,19:44:11,32.7048085,-117.226653833
45,19:44:10,19:44:11,32.7048085,-117.226653833
46,19:44:10,19:44:11,32.7048085,-117.226653833
47,19:44:10,19:44:11,32.7048085,-117.226653833
48,19:44:10,19:44:11,32.7048085,-117.226653833
49,19:44:10,19:44:11,32.7048085,-117.226653833
50,19:44:10,19:44:11,32.7048085,-117.226653833
51,19:44:10,19:44:11,32.7048085,-117.226653833
52,19:44:10,19:44:11,32.7048085,-117.226653833
53,19:44:10,19:44:11,32.7048085,-117.226653833
54,19:44:10,19:44:11,32.7048085,-117.226653833
55,19:44:10,19:44:11,32.7048085,-117.226653833
56,19:44:10,19:44:11,32.7048085,-117.226653833
57,19:44:10,19:44:11,32.7048085,-117.226653833
58,19:44:10,19:44:11,32.7048085,-117.226653833
59,19:44:10,19:44:11,32.7048085,-117.226653833
60,19:44:10,19:44:11,32.7048085,-117.226653833
61,19:44:10,19:44:11,32.7048085,-117.226653833
62,19:44:10,19:44:11,32.7048085,-117.226653833
63,19:44:10,19:44:11,32.7048085,-117.226653833
64,19:44:10,19:44:11,32.7048085,-117.226653833
65,19:44:10,19:44:11,32.7048085,-117.226653833
66,19:44:10,19:44:11,32.7048085,-117.226653833
67,19:44:10,19:44:11,32.7048085,-117.226653833
68,19:44:10,19:44:11,32.7048085,-117.226653833
69,19:44:10,19:44:11,32.7048085,-117.226653833
70,19:44:10,19:44:11,32.7048085,-117.226653833
71,19:44:10,19:44:11,32.7048085,-117.226653833
72,19:44:10,19:44:11,32.7048085,-117.226653833
73,19:44:10,19:44:11,32.7048085,-117.226653833
74,19:44:10,19:44:11,32.7048085,-117.226653833
75,19:44:10,19:44:11,32.7048085,-117.226653833
76,19:44:10,19:44:11,32.7048085,-117.226653833
77,19:44:10,19:44:11,32.7048085,-117.226653833
78,19:44:10,19:44:11,32.7048085,-117.226653833
79,19:44:10,19:44:11,32.7048085,-117.226653833
80,19:44:10,19:44:11,32.7048085,-117.226653833
81,19:44:10,19:44:11,32.7048085,-117.226653833
