Frame No.,Frame Time,GPS Time,Latitude,Longitude
120,19:55:57,19:55:56,32.703010167,-117.233155333
121,19:55:57,19:55:56,32.703010167,-117.233155333
122,19:55:57,19:55:56,32.703010167,-117.233155333
123,19:55:57,19:55:56,32.703010167,-117.233155333
124,19:55:57,19:55:56,32.703010167,-117.233155333
125,19:55:57,19:55:56,32.703010167,-117.233155333
126,19:55:57,19:55:56,32.703010167,-117.233155333
127,19:55:57,19:55:56,32.703010167,-117.233155333
128,19:55:57,19:55:56,32.703010167,-117.233155333
129,19:55:57,19:55:56,32.703010167,-117.233155333
130,19:55:57,19:55:56,32.703010167,-117.233155333
131,19:55:57,19:55:56,32.703010167,-117.233155333
132,19:55:57,19:55:56,32.703010167,-117.233155333
133,19:55:57,19:55:56,32.703010167,-117.233155333
134,19:55:57,19:55:56,32.703010167,-117.233155333
135,19:55:57,19:55:56,32.703010167,-117.233155333
136,19:55:57,19:55:56,32.703010167,-117.233155333
137,19:55:57,19:55:56,32.703010167,-117.233155333
138,19:55:57,19:55:56,32.703010167,-117.233155333
139,19:55:57,19:55:56,32.703010167,-117.233155333
140,19:55:57,19:55:56,32.703010167,-117.233155333
141,19:55:57,19:55:56,32.703010167,-117.233155333
142,19:55:57,19:55:56,32.703010167,-117.233155333
143,19:55:57,19:55:56,32.703010167,-117.233155333
144,19:55:57,19:55:56,32.703010167,-117.233155333
145,19:55:57,19:55:56,32.703010167,-117.233155333
146,19:55:57,19:55:56,32.703010167,-117.233155333
147,19:55:57,19:55:56,32.703010167,-117.233155333
148,19:55:57,19:55:56,32.703010167,-117.233155333
149,19:55:57,19:55:56,32.703010167,-117.233155333
150,19:55:57,19:55:56,32.703010167,-117.233155333
151,19:55:57,19:55:56,32.703010167,-117.233155333
152,19:55:57,19:55:56,32.703010167,-117.233155333
153,19:55:57,19:55:56,32.703010167,-117.233155333
154,19:55:57,19:55:56,32.703010167,-117.233155333
155,19:55:57,19:55:56,32.703010167,-117.233155333
156,19:55:57,19:55:56,32.703010167,-117.233155333
157,19:55:57,19:55:56,32.703010167,-117.233155333
158,19:55:57,19:55:56,32.703010167,-117.233155333
159,19:55:57,19:55:56,32.703010167,-117.233155333
160,19:55:57,19:55:56,32.703010167,-117.233155333
161,19:55:57,19:55:56,32.703010167,-117.233155333
162,19:55:57,19:55:56,32.703010167,-117.233155333
163,19:55:57,19:55:56,32.703010167,-117.233155333
164,19:55:57,19:55:56,32.703010167,-117.233155333
