Frame No.,Latitude,Longitude
573,32.701120333,-117.233503333
573,32.701102167,-117.233505333
820,32.7010595,-117.233511333
942,32.701023333,-117.2335155
1069,32.700987167,-117.233513333
1069,32.7009835,-117.233511
1069,32.700981333,-117.233507833
1069,32.700979,-117.233504333
1069,32.700978333,-117.233502
1195,32.7009765,-117.233495833
1195,32.700975333,-117.2334915
1195,32.700974333,-117.233486
1195,32.700974167,-117.2334815
1195,32.700974833,-117.233476333
1195,32.700976167,-117.233472167
1195,32.700977833,-117.233468167
1195,32.700979667,-117.2334645
1195,32.700984333,-117.233461333
1195,32.700989833,-117.233456667
1320,32.7009935,-117.233454167
1320,32.700997,-117.233453333
1320,32.701000333,-117.233452833
1320,32.701004,-117.233452833
1320,32.701007333,-117.233455
1320,32.701011167,-117.2334565
1320,32.701015167,-117.233458167
1320,32.701019,-117.233460667
1320,32.701022,-117.233462833
1320,32.701036667,-117.233470833
1446,32.7010675,-117.233497833
1446,32.7011025,-117.233507
1573,32.701116333,-117.233508667
1573,32.701159667,-117.233514667
1573,32.7011645,-117.233515833
1696,32.701212167,-117.233524833
1696,32.701221667,-117.233526667
1820,32.701283167,-117.233535333
1820,32.7012895,-117.233537
1820,32.701292833,-117.233537333
1820,32.7013335,-117.233542
1820,32.701342167,-117.233542167
1820,32.701348167,-117.233541833
1943,32.701378,-117.233543167
1943,32.701382833,-117.233543333
1943,32.701386167,-117.233543333
1943,32.701393667,-117.233543333
1943,32.7013995,-117.233543833
1943,32.701406,-117.233544
1943,32.7014205,-117.2335445
1943,32.701423833,-117.233544833
1943,32.701427167,-117.233545
1943,32.701436167,-117.233547
1943,32.701442667,-117.233547
2069,32.701449833,-117.233546833
2069,32.701456,-117.233546667
2069,32.701466667,-117.233546667
2069,32.701474667,-117.233544833
2069,32.701479333,-117.233545
2069,32.7014875,-117.233543167
2069,32.701502667,-117.233536167
2069,32.701505833,-117.233535
2196,32.701559167,-117.233518667
2196,32.701575667,-117.233517667
2325,32.701606667,-117.2335145
2325,32.70161,-117.233514
2325,32.701638333,-117.233504333
2325,32.701643,-117.233503167
2325,32.701656,-117.233499667
2325,32.701659167,-117.233499
2451,32.7016915,-117.233490333
2451,32.701699833,-117.2334895
2451,32.701705167,-117.233488667
2451,32.7017105,-117.233487833
2451,32.701715,-117.233488167
2451,32.701725,-117.233486833
2451,32.701736,-117.233486667
2451,32.701740833,-117.233486167
2451,32.701747,-117.233486833
2451,32.701753,-117.2334855
2451,32.701759167,-117.233484833
2451,32.701765,-117.233481667
2578,32.70177,-117.233481
2578,32.701773167,-117.233480167
2578,32.701780333,-117.2334795
2578,32.701792833,-117.2334775
2578,32.701796167,-117.233476
2578,32.701806833,-117.233473667
2578,32.7018155,-117.2334715
2578,32.7018205,-117.233470833
2706,32.701890833,-117.233460833
2706,32.701894,-117.233460833
2706,32.7019285,-117.233452333
2833,32.701947,-117.233449333
2833,32.701955667,-117.233447833
2833,32.701959833,-117.233446
2833,32.701963333,-117.233445667
2833,32.7019705,-117.233445167
2833,32.701986833,-117.233442
2833,32.701995833,-117.233438333
2833,32.701999167,-117.233438
2833,32.702004167,-117.2334375
2958,32.702018833,-117.233434667
2958,32.702022167,-117.233434333
2958,32.702031167,-117.233433333
2958,32.702043,-117.2334325
2958,32.702049667,-117.233428833
2958,32.7020685,-117.233426333
2958,32.702072,-117.233426167
2958,32.702078667,-117.233425333
2958,32.702084167,-117.233427
2958,32.7020875,-117.233426833
3086,32.702122167,-117.233424833
3086,32.702127167,-117.233424667
3086,32.702133333,-117.233422667
3086,32.702138333,-117.233422333
3086,32.7021435,-117.233422
3086,32.702166333,-117.233423667
3086,32.702171833,-117.233423667
3086,32.702177333,-117.233423667
3086,32.702180833,-117.233423667
3086,32.702185167,-117.233424667
3214,32.702188833,-117.233424833
3214,32.702197667,-117.233425167
3214,32.702203833,-117.2334255
3214,32.702208667,-117.233425833
3214,32.7022265,-117.233427167
3214,32.702231,-117.233427833
3214,32.7022375,-117.233428
3214,32.7022445,-117.2334285
3214,32.702252167,-117.233429667
3214,32.702255833,-117.233429667
3341,32.7022905,-117.2334315
3341,32.702308833,-117.233432833
3341,32.702320667,-117.2334385
3341,32.702332667,-117.233441333
3341,32.7023375,-117.233443333
3341,32.702346,-117.233445167
3341,32.702353333,-117.233446833
3465,32.702360667,-117.233448
3465,32.702368333,-117.233449333
3465,32.702394167,-117.233456833
3465,32.702410167,-117.233464
3465,32.702414667,-117.233466
3465,32.7024305,-117.233474333
3588,32.702456,-117.233491333
3588,32.702461167,-117.233494167
3588,32.7024855,-117.233512333
3588,32.702494,-117.233520667
3588,32.702499,-117.233523833
3588,32.702502667,-117.233530333
77,32.703027333,-117.234471333
77,32.703031833,-117.234466333
77,32.7030355,-117.234462333
77,32.7030425,-117.234458333
77,32.703045,-117.234455333
77,32.703049,-117.234450833
77,32.703051333,-117.2344475
77,32.7030575,-117.234440833
77,32.7030725,-117.234416833
77,32.7030805,-117.234402333
77,32.703090833,-117.2343825
77,32.703093,-117.2343785
202,32.703279,-117.234023
325,32.703512167,-117.233647667
696,32.704869833,-117.231564667
1573,32.708523333,-117.225618
1820,32.7093665,-117.2244395
1943,32.709636,-117.223962167
2451,32.711142333,-117.2206705
3086,32.712909333,-117.2161945
3341,32.713668167,-117.213694
3465,32.713747833,-117.213291667
3588,32.713925333,-117.212166
